9.100000000000000000e+01 6.266353998445295392e-02 3.810445300260202117e+00 1.694055649968962385e+01 
1.170874520178311400e+02 6.096416458346502060e-02 2.574733078993301838e+00 7.246386182953886035e+00 
1.487271360629269452e+02 8.479265011700490295e-02 2.089477145707646866e+00 1.911795761113138870e+00 
1.907327494855749990e+02 9.464973513506595715e-02 1.194928697400528650e+00 1.000899200981772541e+00 
2.457751222386710026e+02 1.390860527595956797e-01 7.880942122268410621e-01 7.196695684244368563e-01 
3.151903953821919799e+02 1.781337738160348183e-01 3.717849506657412428e-01 7.365559850602361180e-01 
4.042109080703017412e+02 1.988416978008352154e-01 1.184747159385872717e-01 5.399308411224151838e-02 
5.183738483049251045e+02 1.469481690161295595e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.743897010077940877e+02 1.640307887153799604e-01 0.000000000000000000e+00 0.000000000000000000e+00 
1.088104606743607292e+03 1.246012468071917428e-01 0.000000000000000000e+00 0.000000000000000000e+00 
1.429202243310793847e+03 1.429630749134311873e-01 0.000000000000000000e+00 0.000000000000000000e+00 
1.832857679195028140e+03 1.552547070590667710e-01 0.000000000000000000e+00 0.000000000000000000e+00 
2.317026527821249147e+03 1.390860527595956797e-01 0.000000000000000000e+00 0.000000000000000000e+00






