1. 0.86113054 0.34581023
2. 0.88597399 0.21751384
3. 0.89066607 0.17195459
4. 0.89654213 0.14183772
5. 0.89583844 0.12760288
7. 0.89926350 0.10751605
10. 0.90153772 0.088833449
15. 0.90349376 0.070189188
20. 0.90529740 0.060589716
25. 0.90669477 0.053495033
30. 0.90670788 0.049544983
40. 0.90906495 0.042539377
50. 0.91094166 0.037536195
60. 0.91262519 0.033775607
70. 0.91373128 0.031350559
80. 0.91592121 0.028949335
90. 0.91728061 0.027120965
100. 0.91894722 0.025658420
120. 0.92216468 0.022583934
150. 0.92646188 0.019707454
175. 0.92915821 0.017826143
200. 0.93229359 0.016797188
250. 0.93787754 0.014447413
300. 0.94296849 0.012827946
350. 0.94764942 0.011236941
400. 0.95168173 0.010328728
500. 0.95867330 0.0086439596
600. 0.96446264 0.0075480391
700. 0.96942329 0.0067549600
800. 0.97360170 0.0060658234
900. 0.97696060 0.0055888618
